trace,pid,frames,policy,tlb_entries,swap_slots,processed_accesses,total_accesses,read_accesses,write_accesses,page_faults,replacements,dirty_evictions,tlb_hits,tlb_misses,tlb_hit_ratio,page_walks,page_walk_levels,average_page_walk_levels,swap_reads,swap_writes
"traces/stress_sequential.trace",1,8,"FIFO",16,256,20000,20000,15034,4966,20000,19992,4965,0,20000,0.000000,20000,79997,3.999850,4940,4965
"traces/stress_sequential.trace",1,16,"FIFO",16,256,20000,20000,15034,4966,20000,19984,4962,0,20000,0.000000,20000,79997,3.999850,4940,4962
"traces/stress_sequential.trace",1,8,"LRU",16,256,20000,20000,15034,4966,20000,19992,4965,0,20000,0.000000,20000,79997,3.999850,4940,4965
"traces/stress_sequential.trace",1,16,"LRU",16,256,20000,20000,15034,4966,20000,19984,4962,0,20000,0.000000,20000,79997,3.999850,4940,4962
"traces/stress_sequential.trace",1,8,"Clock",16,256,20000,20000,15034,4966,20000,19992,4965,0,20000,0.000000,20000,79997,3.999850,4940,4965
"traces/stress_sequential.trace",1,16,"Clock",16,256,20000,20000,15034,4966,20000,19984,4962,0,20000,0.000000,20000,79997,3.999850,4940,4962
"traces/stress_sequential.trace",1,8,"Aging",16,256,20000,20000,15034,4966,20000,19992,4965,0,20000,0.000000,20000,79997,3.999850,4940,4965
"traces/stress_sequential.trace",1,16,"Aging",16,256,20000,20000,15034,4966,17816,17800,4435,2184,17816,0.109200,17816,71261,3.999832,4412,4435
"traces/stress_random.trace",1,8,"FIFO",16,256,20000,20000,14859,5141,20000,19992,5139,0,20000,0.000000,20000,79997,3.999850,5132,5139
"traces/stress_random.trace",1,16,"FIFO",16,256,20000,20000,14859,5141,20000,19984,5136,0,20000,0.000000,20000,79997,3.999850,5132,5136
"traces/stress_random.trace",1,8,"LRU",16,256,20000,20000,14859,5141,20000,19992,5139,0,20000,0.000000,20000,79997,3.999850,5132,5139
"traces/stress_random.trace",1,16,"LRU",16,256,20000,20000,14859,5141,20000,19984,5136,0,20000,0.000000,20000,79997,3.999850,5132,5136
"traces/stress_random.trace",1,8,"Clock",16,256,20000,20000,14859,5141,20000,19992,5139,0,20000,0.000000,20000,79997,3.999850,5132,5139
"traces/stress_random.trace",1,16,"Clock",16,256,20000,20000,14859,5141,20000,19984,5136,0,20000,0.000000,20000,79997,3.999850,5132,5136
"traces/stress_random.trace",1,8,"Aging",16,256,20000,20000,14859,5141,20000,19992,5139,0,20000,0.000000,20000,79997,3.999850,5132,5139
"traces/stress_random.trace",1,16,"Aging",16,256,20000,20000,14859,5141,15632,15616,4019,4368,15632,0.218400,15632,62525,3.999808,4014,4019
